,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
0,FalcÑo,104104,314,https://s.glbimg.com/es/sde/f/2019/02/18/6a3faee3e0ccb1919d96bae0cb823728_FORMATO.png,0,0.0,Lucas de Oliveira Teodoro FalcÑo,0.0,4,2.0,20,{},falcao,6,0.0
1,Braian Romero,101997,293,https://s.glbimg.com/es/sde/f/2019/03/30/4eab9bac11e6c0d60d5e717b2474963f_FORMATO.png,10,3.61,Braian Ezequiel Romero,-0.6,5,4.54,20,"{'A': 1, 'CA': 1, 'FC': 18, 'FD': 2, 'FF': 6, 'FS': 13, 'FT': 1, 'G': 2, 'I': 2, 'PE': 15, 'RB': 10}",braian-romero,6,-0.26
2,Matheus Stockl,104088,282,https://s.glbimg.com/es/sde/f/2019/03/30/86011c733ddfa6a95f8ce320b63fab21_FORMATO.png,0,0.0,Matheus Bungenstab Stockl,0.0,3,1.0,20,{},matheus-stockl,6,0.0
3,Camacho,68770,293,https://s.glbimg.com/es/sde/f/2019/03/30/81d88455f0c9a28fc1bf58482da871c1_FORMATO.png,1,1.2,Guilherme de Aguiar Camacho,0.0,4,4.3,20,"{'FC': 1, 'FS': 1, 'PE': 1, 'RB': 1}",camacho,3,0.0
4,Tor¢,101885,276,https://s.glbimg.com/es/sde/f/2019/04/01/537547b0687a098437442f6632e753bc_FORMATO.png,14,2.27,Jonas Gabriel da Silva Nunes,5.1,5,5.61,20,"{'A': 1, 'CA': 1, 'CV': 1, 'FC': 18, 'FD': 3, 'FF': 10, 'FS': 18, 'G': 2, 'I': 2, 'PE': 26, 'RB': 10}",toro,7,0.55
5,Pedro Lucas,104087,285,https://s.glbimg.com/es/sde/f/2019/09/18/dab1ac19931ad3dde410171291f2c48d_FORMATO.png,3,-0.33,Pedro Lucas Schwaizer,0.0,5,2.69,20,{'FC': 2},pedro-lucas,6,0.0
6,Vitinho,101960,293,https://s.glbimg.com/es/sde/f/2019/08/09/4c1f2f2ebbf72fa37a797a53aababd3a_FORMATO.png,9,3.07,Vitor Hugo Naum dos Santos,0.0,5,2.63,20,"{'A': 2, 'FC': 13, 'FD': 5, 'FF': 7, 'FS': 5, 'G': 1, 'PE': 8, 'RB': 3}",vitinho,6,0.0
7,Roberto,104086,285,https://s.glbimg.com/es/sde/f/2019/05/16/b8a0891d626e56bbf0d4c6c82632218e_FORMATO.png,3,0.17,Roberto Pinheiro da Rosa,0.0,3,1.69,20,"{'CA': 1, 'FC': 4, 'FS': 3, 'PE': 5, 'RB': 3}",roberto,5,0.0
8,Gabriel Calabres,101911,315,https://s.glbimg.com/es/sde/f/2019/09/03/25f5b4b0eb81313bd391ff5dadf90bb8_FORMATO.png,0,0.0,Gabriel Calabres Nunes,0.0,4,2.0,20,{},gabriel-calabres,6,0.0
9,Iury,101846,314,https://s.glbimg.com/es/sde/f/2019/02/18/0758f27a5553304e808e5732adb6eadd_FORMATO.png,8,3.08,Iury de Oliveira Nascimento ,0.0,2,6.54,20,"{'A': 1, 'CA': 1, 'FC': 12, 'FF': 1, 'FS': 8, 'PE': 24, 'RB': 10, 'SG': 3}",iury,7,0.0
10,Gonzalo Carneiro,101796,276,https://s.glbimg.com/es/sde/f/2019/04/01/504b1e2a808ffe49b9679b8e86de83b8_FORMATO.png,0,0.0,Gonzalo Rodrigo Carneiro MÇndez,0.0,5,5.0,20,{},gonzalo-carneiro,3,0.0
11,Felipe Sousa,101861,282,,0,0.0,Felipe Fernandes Sousa,0.0,5,1.0,20,{},felipe-sousa,6,0.0
12,Vitor Eudes,102137,283,https://s.glbimg.com/es/sde/f/2018/11/22/3fc8cbbb0eff85d2cfd8e31bd040d110_FORMATO.png,0,0.0,Vitor Eudes de Souza Costa,0.0,1,2.0,20,{},vitor-eudes,6,0.0
13,Jairinho,102139,267,https://s.glbimg.com/es/sde/f/2019/05/04/5f48ebf39427ff35dd65f6f1b4768386_FORMATO.png,4,1.77,Jairo Santos de Oliveira Filho,0.0,5,2.89,20,"{'FC': 1, 'FD': 2, 'FF': 1, 'FS': 4, 'PE': 2, 'RB': 2}",jairinho,6,0.0
14,Everaldo,78117,315,https://s.glbimg.com/es/sde/f/2019/03/28/06c711b652c1c301dcb21fa9dc4a4b81_FORMATO.png,19,5.09,Everaldo Stum,-4.0,5,15.35,20,"{'A': 1, 'CA': 5, 'FC': 41, 'FD': 21, 'FF': 28, 'FS': 32, 'G': 8, 'I': 2, 'PE': 46, 'PP': 1, 'RB': 9}",everaldo,6,-1.35
15,Lucas Halter,102253,293,https://s.glbimg.com/es/sde/f/2019/05/18/8451dd8fd1ce139e8f57e002de068475_FORMATO.png,7,1.35,Lucas Halter,-0.3,3,2.37,20,"{'CA': 1, 'FC': 4, 'FD': 1, 'FF': 2, 'FS': 1, 'PE': 8, 'RB': 5, 'SG': 1}",lucas-halter,7,-0.4
16,Bruno Leite,102301,293,https://s.glbimg.com/es/sde/f/2018/03/05/37cc69ce211fa6a6c3fb2fa03e905809_FORMATO.png,0,0.0,Bruno da Silva Costa Leite,0.0,4,2.0,20,{},bruno-leite,5,0.0
17,Papagaio,102302,282,https://s.glbimg.com/es/sde/f/2019/03/29/6cce9b5a37d0722657f590f8d01229f4_FORMATO.png,5,0.98,Rafael Elias da Silva,0.0,5,1.97,20,"{'FC': 3, 'FD': 1, 'FF': 2, 'FS': 3, 'PE': 3, 'RB': 2}",papagaio,5,0.0
18,Gabriel,102290,293,https://s.glbimg.com/es/sde/f/2018/05/08/23ead8e9977bf4883159480316b71e35_FORMATO.png,0,0.0,Gabriel JosÇ Ferreira Mesquita,0.0,1,1.0,20,{},gabriel,6,0.0
19,Cac†,102340,283,https://s.glbimg.com/es/sde/f/2018/05/18/9e847531623845ec5f88f060b157da00_FORMATO.png,7,2.66,Carlos de Menezes J£nior,1.5,3,2.49,20,"{'CA': 2, 'FC': 4, 'FD': 1, 'FS': 7, 'PE': 2, 'RB': 7, 'SG': 2}",caca,6,-0.12
20,Araos,102352,264,https://s.glbimg.com/es/sde/f/2019/05/23/cb5269062be03aa00e9d4c376cfa6cf9_FORMATO.png,0,0.0,Üngelo Giovanni Araos Llanos,0.0,4,4.0,20,{},araos,6,0.0
21,Vital,102452,341,https://s.glbimg.com/es/sde/f/2019/03/23/fb790a1d32b257ad9a64d7752826981f_FORMATO.png,0,0.0,Johnatan Lucas da Silva Vital,0.0,3,1.0,20,{},vital,6,0.0
22,Kaio,102563,290,https://s.glbimg.com/es/sde/f/2019/08/17/1e8c1cee38c33b285f33645bdf013d49_FORMATO.png,1,5.0,Kaio Nunes Ferreira,5.0,4,1.98,20,{'A': 1},kaio,6,0.98
23,Caio Paulista,102318,314,https://s.glbimg.com/es/sde/f/2019/02/18/9a6fef900167a97e0492da10177e45b8_FORMATO.png,14,3.12,Caio Fernando de Oliveira,6.0,5,4.55,20,"{'FC': 17, 'FD': 5, 'FF': 12, 'FS': 20, 'I': 2, 'PE': 23, 'RB': 23}",caio-paulista,7,0.76
24,Marcinho,102380,314,https://s.glbimg.com/es/sde/f/2019/03/26/f668b0e7484644c6732bfc57f72a5fdb_FORMATO.png,0,0.0,M†rcio Rodrigues Velasco,0.0,4,1.0,20,{},marcinho,6,0.0
25,Miguel Figueira,102565,290,https://s.glbimg.com/es/sde/f/2019/03/26/7e19f3b4700aea39ef02fe83399dfc6c_FORMATO.png,1,0.5,Miguel Ferreira Damasceno,0.5,4,0.86,20,{'FS': 1},miguel-figueira,6,-0.14
26,Helinho,102598,276,https://s.glbimg.com/es/sde/f/2019/04/01/a4da339bedf52e7e79df80fd1914f6da_FORMATO.png,5,0.38,HÇlio J£nio Nunes de Castro,0.0,5,3.27,20,"{'FC': 5, 'FD': 1, 'FF': 1, 'FS': 6, 'PE': 7, 'RB': 1}",helinho,6,0.0
27,Fernando Castro,102609,265,https://s.glbimg.com/es/sde/f/2019/03/29/5d48e68e633e025554f7fb03e89b57cf_FORMATO.png,0,0.0,Fernando Augusto de Castro Ribeiro,0.0,1,2.0,20,{},fernando-castro,6,0.0
28,Nathan,102607,356,https://s.glbimg.com/es/sde/f/2019/03/26/fac8ae4b1ad76816a386604cbe32d846_FORMATO.png,4,0.43,Nathan Ot†vio Ribeiro,0.0,3,1.44,20,"{'CV': 1, 'FC': 3, 'FD': 1, 'FS': 2, 'PE': 5, 'RB': 5}",nathan,6,0.0
29,Thiaguinho,102599,264,https://s.glbimg.com/es/sde/f/2019/07/12/d211556427f0083ad39be91e9a62f628_FORMATO.png,0,0.0,Thiago Beserra dos Santos,0.0,4,3.0,20,{},thiaguinho,6,0.0
30,Hulk,102700,282,https://s.glbimg.com/es/sde/f/2018/05/17/2551e15c845e9706b626ca2ab7a4f23f_FORMATO.png,0,0.0,Carlos Gabriel Moreira de Oliviera,0.0,2,3.0,20,{},hulk,6,0.0
31,Yago Darub,102686,262,https://s.glbimg.com/es/sde/f/2019/03/25/ae7074b588af8eb28be002bc63b40b09_FORMATO.png,0,0.0,Yago Rafael Valadares Darub,0.0,1,1.0,20,{},yago-darub,6,0.0
32,Rodrigo Fernandes,102771,267,https://s.glbimg.com/es/sde/f/2018/09/27/5ff6d5126f3366e505e6caa6897ccff3_FORMATO.png,0,0.0,Rodrigo Fernandes N¢brega,0.0,4,2.0,20,{},rodrigo-fernandes,6,0.0
33,Moresche,102719,267,https://s.glbimg.com/es/sde/f/2018/09/27/c6c9b83f9837ff43f73359da0386895a_FORMATO.png,0,0.0,Matheus Celestino Moresche Rodrigues,0.0,5,2.0,20,{},moresche,6,0.0
34,Dudu,102852,267,https://s.glbimg.com/es/sde/f/2019/02/04/5f0cba5bf1f2c598d7825638281a5e22_FORMATO.jpeg,0,0.0, Eduardo Feitoza Sampaio,0.0,4,3.0,20,{},dudu,6,0.0
35,Jaques,104128,265,https://s.glbimg.com/es/sde/f/2019/03/29/0aa6fcfbdf775616d09fa583d45fecee_FORMATO.png,0,0.0,Jaques Bonfim NazarÇ Neto,0.0,3,1.0,20,{},jaques,6,0.0
36,Terans,102878,282,https://s.glbimg.com/es/sde/f/2018/06/26/88598177badc1f54b4f2757234282710_FORMATO.png,1,0.4,Miguel David Terans PÇrez  ,0.0,4,3.94,20,"{'FC': 1, 'FD': 1, 'PE': 1}",terans,6,0.0
37,JoÑo Victor,104250,264,https://s.glbimg.com/es/sde/f/2019/03/26/c13e38517c9406ec1c47b1cdd41eb68e_FORMATO.png,0,0.0,JoÑo Victor da Silva Marcelino,0.0,3,2.0,20,{},joao-victor,6,0.0
38,Calegari,104276,266,https://s.glbimg.com/es/sde/f/2019/08/06/99c99a1dd012f1aa1c429e410f991c3b_FORMATO.png,0,0.0,Lucas Felipe Calegari,0.0,2,1.0,20,{},calegari,6,0.0
39,Romarinho Gouveia,102891,356,,0,0.0,Francisco Jozielson Soares de Gouveia,0.0,5,1.0,20,{},romarinho-gouveia,6,0.0
40,Arthur,104325,315,https://s.glbimg.com/es/sde/f/2019/08/27/78321860a47efceddb376c7d8a4cb66f_FORMATO.png,0,0.0,Arthur Rosseto Henriques,0.0,1,1.0,20,{},arthur,6,0.0
41,Nuno,104326,314,https://s.glbimg.com/es/sde/f/2019/03/26/c1b1a18f433b957ac0690204c16bedca_FORMATO.png,0,0.0,Ac†cio Nuno Boing,0.0,3,2.0,20,{},nuno,6,0.0
42,Yann Rolim,102892,315,https://s.glbimg.com/es/sde/f/2018/08/01/42e8f3434bff7d6238a0dca11f2239f8_FORMATO.png,0,0.0,Yann Del Pino Rolim,0.0,4,4.0,20,{},yann-rolim,5,0.0
43,JoÑo Lucas,104257,262,https://s.glbimg.com/es/sde/f/2019/05/09/5068741391b0dcdd7fef7972922e2b38_FORMATO.png,3,6.47,JoÑo Lucas de Almeida Carvalho,0.0,2,3.49,20,"{'FS': 1, 'PE': 2, 'RB': 3, 'SG': 3}",joao-lucas,6,0.0
44,Matheus Teixeira,102907,275,https://s.glbimg.com/es/sde/f/2019/05/21/3acf0fad2bc3bf7cb0c9645eaf70fb0b_FORMATO.png,0,0.0,Matheus Henrique Teixeira,0.0,1,1.0,20,{},matheus-teixeira,6,0.0
45,Dudu,104327,314,https://s.glbimg.com/es/sde/f/2019/02/18/802f542c5adf740551a1a6aec66a72ba_FORMATO.png,0,0.0,Eduardo Luis Tapparo,0.0,4,1.0,20,{},dudu,6,0.0
46,Rodrigo,104328,314,https://s.glbimg.com/es/sde/f/2019/03/26/ba2af494a1681ac20387f7fc39e21721_FORMATO.png,0,0.0,Rodrigo Jardim dos Santos Almeida,0.0,1,1.0,20,{},rodrigo,6,0.0
47,JoÑo Vitor,104329,314,https://s.glbimg.com/es/sde/f/2019/03/26/bbbed8c4d42ead7dff816c8262ba62cf_FORMATO.png,0,0.0,JoÑo Vitor de Oliveira,0.0,1,1.0,20,{},joao-vitor,6,0.0
48,Luan,102909,276,https://s.glbimg.com/es/sde/f/2019/04/01/d66903d72e2d84e1b6c05a8579691862_FORMATO.png,10,0.25,Luan Vinicius da Silva Santos ,2.2,4,3.06,20,"{'CA': 2, 'FC': 18, 'FD': 1, 'FF': 2, 'FS': 2, 'PE': 16, 'RB': 11}",luan,7,0.49
49,CÇsar,102912,266,https://s.glbimg.com/es/sde/f/2018/09/18/d2e64310e53678e2ab4f1d70a1a6bf88_FORMATO.png,0,0.0,CÇsar Nunes da Costa,0.0,2,1.0,20,{},cesar,6,0.0
50,Julian,104333,314,https://s.glbimg.com/es/sde/f/2019/02/08/db8844a962ff549d6afcfd7bdbaa321c_FORMATO.png,0,0.0,Julian Yoiti Suzuki Bicudo,0.0,4,2.0,20,{},julian,6,0.0
51,Gustavo Coutinho,104362,356,https://s.glbimg.com/es/sde/f/2019/03/22/219513fd22c061ae4c06d8ae536f7b6f_FORMATO.png,0,0.0,Gustavo Coutinho Silva Lopes,0.0,5,1.0,20,{},gustavo-coutinho,6,0.0
52,ZÇ Ricardo,102911,266,https://s.glbimg.com/es/sde/f/2019/09/17/9601aa0369fbe463a34c2f3a864b4813_FORMATO.png,0,0.0,JosÇ Ricardo Ara£jo Fernandes,0.0,4,1.0,20,{},ze-ricardo,6,0.0
53,Vitor Mendes,104401,282,https://s.glbimg.com/es/sde/f/2019/09/17/da9c2af9f1290a49d994c23c6513107f_FORMATO.png,0,0.0,Vitor Mendes Alves,0.0,3,1.0,20,{},vitor-mendes,6,0.0
54,Rhuan,102958,263,https://s.glbimg.com/es/sde/f/2019/03/28/4d88ed09bc75e94e5f255e63ec33d09c_FORMATO.png,2,-0.3,Rhuan da Silveira Castro,0.0,5,0.77,20,"{'FC': 2, 'FS': 2, 'PE': 2}",rhuan,6,0.0
55,Lucas Dias,104356,341,https://s.glbimg.com/es/sde/f/2019/04/27/493ca5a8ac35c34ea0b93396ea486c56_FORMATO.png,0,0.0,Lucas Vin°cius Dias Costa,0.0,3,2.0,20,{},lucas-dias,6,0.0
56,Gabriel,104404,282,,0,0.0,Gabriel Alves da Cunha Borges,0.0,4,1.0,20,{},gabriel,6,0.0
57,Igor Reis,104408,282,,0,0.0,Igor Alves dos Reis,0.0,4,1.0,20,{},igor-reis,6,0.0
