atletas.apelido;atletas.atleta_id;atletas.preco_num;preco
Juan;36540;6.12;6,12
Z_ Roberto;36612;7.38;7,38
Oswaldo de Oliveira;36940;12.08;12,08
Mano Menezes;37281;12.32;12,32
Gilson Kleina;37306;12.06;12,06
Paulo Andr_;37604;3.81;3,81
Michel Bastos;37607;5.79;5,79
Cristian;37608;3.74;3,74
Rafael Marques;37623;1.88;1,88
Rodrigo;37644;7.71;7,71
Marcelo Mattos;37645;4.0;4
Bet‹o;37646;7.32;7,32
Nilmar;37653;6.08;6,08
Rafael Moura;37655;4.7;4,7
F‡bio;37656;11.67;11,67
Edu Dracena;37657;9.29;9,29
Jonathan;37662;8.84;8,84
Alecsandro;37673;1.79;1,79
Wagner;37674;4.89;4,89
C’cero;37688;4.28;4,28
Henrique;37694;4.48;4,48
L_o Moura;37701;9.67;9,67
Juan;37705;4.19;4,19
Arouca;37718;4.95;4,95
Marcelo Grohe;37770;10.04;10,04
Edinho;37792;3.3;3,3
Rafael Sobis;37798;9.27;9,27
Gustavo;37840;4.14;4,14
Maicosuel;37851;5.9;5,9
Luis Fabiano;37919;11.3;11,3
Roger Bernardo;37934;4.73;4,73
Aranha;37984;12.45;12,45
Anderson;38001;0.79;0,79
Wendel;38021;4.37;4,37
Lugano;38062;2.29;2,29
Danilo;38067;3.87;3,87
Durval;38100;7.22;7,22
Jefferson;38109;9.57;9,57
J™;38138;12.54;12,54
Fernando Prass;38140;14.68;14,68
Marquinhos;38150;2.98;2,98
Artur Moraes;38156;6.0;6
Fred;38162;15.99;15,99
Maicon;38196;7.26;7,26
F‡bio Santos;38229;4.46;4,46
Robinho;38246;12.75;12,75
Thiago Neves;38277;17.2;17,2
Wellington Paulista;38279;9.86;9,86
Roger;38287;10.31;10,31
M‡rcio Araœjo;38311;8.13;8,13
Jadson;38315;10.29;10,29
Thiago Heleno;38394;9.08;9,08
Rafinha;38421;5.87;5,87
F‡bio Ferreira;38425;5.0;5
Diego Cavalieri;38431;3.8;3,8
Pierre;38440;3.54;3,54
Eder Luis;38508;1.98;1,98
Diego Alves;38509;11.36;11,36
Ed’lson;38523;10.15;10,15
Cleiton Xavier;38530;5.48;5,48
Felipe Melo;38545;7.83;7,83
Danilinho;38617;4.13;4,13
Hernanes;38648;17.83;17,83
Douglas;38738;14.0;14
Maicon;38748;5.73;5,73
Anderson;38852;3.01;3,01
Renato;38908;6.12;6,12
Diego;38909;19.4;19,4
Ricardo Oliveira;38910;10.94;10,94
Nenê;38913;11.8;11,8
Dudu Cearense;38928;3.91;3,91
Rafael Marques;38957;3.95;3,95
Jonas;39152;6.0;6
Carpegiani;39355;11.91;11,91
Renato;39572;4.32;4,32
Vagner Mancini;39850;8.99;8,99
Abel Braga;40006;11.68;11,68
Kleber;40179;11.59;11,59
Dorival Jœnior;40990;10.1;10,1
Magr‹o;41218;7.33;7,33
Renato Gaœcho;41929;15.46;15,46
Willian;42116;7.51;7,51
Felipe Santana;42140;7.86;7,86
Eg’dio;42145;8.81;8,81
Fernando Bob;42213;7.49;7,49
Osvaldo;42222;4.34;4,34
Amaral;42232;3.93;3,93
C‡ssio;42234;12.02;12,02
Bruno;42499;4.28;4,28
Fagner;42500;13.22;13,22
Rhodolfo;42501;8.31;8,31
Jœlio C_sar;49673;5.15;5,15
Fabr’cio;49674;6.47;6,47
Wilson;50284;15.77;15,77
Guilherme;50294;9.0;9
Everton;50301;13.37;13,37
Adilson;50307;3.62;3,62
Elicarlos;50313;6.08;6,08
David Braz;50317;12.45;12,45
Hudson;50324;6.9;6,9
Marcelo Oliveira;50328;7.36;7,36
Conca;50348;8.35;8,35
Lucas;50362;2.41;2,41
Carlos Eduardo;50369;2.49;2,49
Paulo Henrique;50398;3.0;3
Kayke;50402;4.24;4,24
Marquinho;50407;2.98;2,98
Breno;50408;3.67;3,67
Wesley;50421;3.03;3,03
Vilson;50439;4.0;4
L_o;50459;8.35;8,35
Eduardo;50645;7.05;7,05
Henrique;50856;9.67;9,67
Keirrison;50880;2.19;2,19
Apodi;51042;10.26;10,26
Denis;51175;5.0;5
Emerson Silva;51299;5.9;5,9
Leandro Donizete;51318;3.32;3,32
Renato Caj‡;51319;6.29;6,29
Walter;51413;6.88;6,88
Roger Carvalho;51415;7.51;7,51
Thiago Carleto;51700;6.02;6,02
Bruno Rodrigo;51705;5.21;5,21
ƒverton Ribeiro;51772;13.64;13,64
Kanu;51792;8.46;8,46
Leandro Salino;51905;5.87;5,87
R_ver;52253;10.69;10,69
Anderson Martins;52618;8.9;8,9
Gilson;52674;7.63;7,63
Victor;52950;10.86;10,86
Ferdinando;53731;5.0;5
L_o Gamalho;53865;6.8;6,8
Elias;54395;13.06;13,06
Tœlio de Melo;54797;5.62;5,62
Luis Ricardo;55348;6.8;6,8
Jo‹o Paulo;56102;5.14;5,14
Willians;60787;3.06;3,06
Marquinhos;60788;3.95;3,95
Ded_;60819;8.86;8,86
Jael;60859;3.41;3,41
Patric;60969;7.63;7,63
Rodriguinho;61033;14.86;14,86
Lucca;61149;20.75;20,75
Gilberto;61188;3.32;3,32
Carlos Cesar;61211;4.46;4,46
Airton;61985;5.63;5,63
Edimar;62024;5.42;5,42
Jean;62047;13.53;13,53
Par‡;62086;8.43;8,43
Robinho;62104;7.1;7,1
Vanderlei;62121;21.73;21,73
Walter;62128;7.42;7,42
Wellington;62129;1.2;1,2
William Matheus;62130;6.88;6,88
Marcelo Oliveira;62136;9.85;9,85
Werley;62974;8.16;8,16
Jo‹o Paulo;62997;5.15;5,15
Marcos Rocha;63013;11.6;11,6
Willian Farias;63058;9.33;9,33
Alan Ruschel;63110;2.3;2,3
Juninho;63119;6.69;6,69
Douglas;63128;3.77;3,77
Mois_s;63158;9.94;9,94
Paul‹o;63172;4.33;4,33
Luan;63219;5.73;5,73
Jucilei;63422;13.6;13,6
Andr_;68690;12.48;12,48
Armero;68693;1.86;1,86
Bruno Silva;68698;12.69;12,69
Diego Renan;68725;4.69;4,69
Emerson Sheik;68744;5.89;5,89
Vecchio;68745;1.72;1,72
Everton Heleno;68749;1.7;1,7
Fernandinho;68758;10.47;10,47
Camacho;68770;3.7;3,7
Henrique Almeida;68773;13.74;13,74
Jœnior Dutra;68784;8.22;8,22
Neto Berola;68807;8.5;8,5
Nino Para’ba;68808;19.08;19,08
Rafael Galhardo;68821;2.5;2,5
Rafael Santos;68822;3.0;3
Renato Chaves;68827;2.84;2,84
Rithely;68834;10.4;10,4
Paulo Victor;68873;5.96;5,96
Klever;68884;3.09;3,09
Dig‹o;68886;5.06;5,06
Gum;68887;5.56;5,56
Andr_ Lima;68893;6.67;6,67
Wellington Silva;68895;8.29;8,29
Ramon;68896;11.58;11,58
Rodrigo Pimp‹o;68901;7.31;7,31
Anselmo;68910;7.06;7,06
Diego Souza;68911;14.58;14,58
Dudu;68920;16.93;16,93
Leonardo Silva;68925;8.81;8,81
Rafael;68928;8.76;8,76
Thiago Ribeiro;68929;4.7;4,7
Kieza;68930;8.03;8,03
Renan Ribeiro;68932;8.9;8,9
Giovanni Augusto;68938;5.75;5,75
Ronaldo Alves;68950;7.71;7,71
Marquinhos Gabriel;68954;9.1;9,1
Wallace Reis ;68958;8.67;8,67
Giovanni;68979;4.47;4,47
Gustavo Santos;68986;1.0;1
Jo‹o Vitor;68987;5.0;5
Neto;69008;5.0;5
Jo‹o Carlos;69010;3.75;3,75
Santos;69012;5.43;5,43
Manoel;69014;8.16;8,16
Paulinho;69016;6.58;6,58
Deivid;69018;5.04;5,04
Vladimir;69040;4.0;4
Paulo Roberto;69047;2.66;2,66
Pablo;69138;2.06;2,06
Pablo;69165;11.14;11,14
L_o;69177;6.08;6,08
Mart’n Silva;69249;7.12;7,12
Lucas Barrios;69282;9.0;9
Reinaldo Rueda;69486;13.11;13,11
Nik‹o;69705;7.36;7,36
Romulo;70009;5.08;5,08
Victor Ferraz;70046;9.74;9,74
Tiago Real;70058;5.55;5,55
Fellipe Bastos;70116;2.9;2,9
Alan Santos;70132;5.69;5,69
Ederson;70173;4.25;4,25
Sid‹o;70222;6.0;6
Fillipe Soutto;70581;3.43;3,43
Marllon;70666;10.22;10,22
F‡bio Carille;70696;11.81;11,81
Seijas;70742;6.21;6,21
Diogo Barbosa;70916;13.84;13,84
Jackson;70934;7.0;7
Bruno Henrique;70944;9.84;9,84
L_o Cittadini;70986;2.97;2,97
Leo;71043;3.0;3
Mancuello;71066;7.7;7,7
Roberto;71116;4.12;4,12
Vin’cius;71162;6.06;6,06
Baumjohann;71389;4.71;4,71
Lucho Gonz‡lez;71479;5.45;5,45
Kelvin;71549;5.03;5,03
Fernando Miguel;71571;9.26;9,26
Gabriel;71572;1.0;1
Weverton;71631;5.16;5,16
Manga Escobar;71704;4.43;4,43
Cu_llar;71709;6.51;6,51
Elton;71719;4.43;4,43
Agenor;71724;4.57;4,57
Bruno Grassi;71818;3.84;3,84
Wellington Silva;71892;7.0;7
Michel ;71920;8.87;8,87
Diego Rosa;71927;9.52;9,52
Juninho;71937;10.52;10,52
Uillian Correia;72007;5.05;5,05
Renan Fonseca;72037;3.3;3,3
Bruno Cortez;72079;11.26;11,26
Fernandinho;72150;5.26;5,26
Jo‹o Paulo;72168;3.86;3,86
Jailson;72290;7.3;7,3
Airton ;72297;1.6;1,6
Rodrigo Lindoso;72362;10.11;10,11
Cl_ber Reis;72376;6.22;6,22
Hernane;72386;7.33;7,33
Fred;72490;4.26;4,26
Bressan;72491;2.2;2,2
Luan;72565;5.16;5,16
Mauricio Kozlinski;72595;7.69;7,69
William Menezes;72603;2.0;2
Escudero;72745;3.5;3,5
Vladimir Hern‡ndez;72879;7.28;7,28
Eduardo da Silva;72893;5.87;5,87
Jorge Mendoza;73144;2.69;2,69
Renê Jœnior;73281;12.66;12,66
Rafael Martins;73336;2.0;2
Getterson;73340;0.87;0,87
Samuel Xavier;73384;3.84;3,84
Rafael Vaz;73421;8.61;8,61
ƒderson;73446;5.77;5,77
Maranh‹o;73513;1.78;1,78
Gabriel;73515;2.17;2,17
Douglas Pires;73517;4.0;4
Rog_rio;73540;6.43;6,43
Wellington Nem;73619;7.13;7,13
Bruno Alves;73620;4.76;4,76
Rildo;73635;8.73;8,73
Lucas Pratto;73649;14.96;14,96
Marcos Vin’cius;73721;5.92;5,92
Rodrigo Caio;73800;9.15;9,15
Lennon;73869;3.09;3,09
Jomar;73876;1.5;1,5
Geuv‰nio;73896;7.91;7,91
Canteros;73918;5.48;5,48
Alison;73974;6.34;6,34
Ren_;73978;2.2;2,2
Walisson Maia;73991;4.44;4,44
Rodinei;73992;8.97;8,97
Luiz Antonio ;74060;7.62;7,62
Gatito Fern‡ndez;74061;18.02;18,02
Guilherme Costa;74081;4.59;4,59
Arroyo;74134;3.42;3,42
ƒlber;74140;5.2;5,2
Alejandro Guerra;74213;11.61;11,61
Edigar Junio;74271;10.16;10,16
Paolo Guerrero;75295;11.33;11,33
Yago;77500;4.25;4,25
Leandro Silva;77529;9.46;9,46
Jorginho;77544;5.53;5,53
Thom‡s;77551;6.16;6,16
Rodrigo Milanez;77555;2.0;2
Bruno Br’gido;77556;3.48;3,48
Copete;77959;7.45;7,45
Mena;77967;7.72;7,72
Madson;78077;4.02;4,02
C_sar;78086;2.95;2,95
Gustavo Henrique;78248;6.0;6
Douglas Grolli;78407;6.77;6,77
Renê;78445;7.61;7,61
Willian Ar‹o;78478;10.16;10,16
Arnaldo;78497;10.55;10,55
Jean Mota;78548;6.06;6,06
Douglas Friedrich;78584;10.17;10,17
Gabriel;78605;8.49;8,49
Bryan;78632;3.45;3,45
Ramiro;78715;15.33;15,33
Gabriel Gasparotto;78839;2.0;2
Pedro Castro;78840;5.23;5,23
Reinaldo;78850;12.89;12,89
Thiago Santos;78855;5.35;5,35
Marc‹o Silva;78856;7.01;7,01
Petros;78891;13.73;13,73
Naldo;78897;6.38;6,38
Leandro Pereira;78968;5.86;5,86
Mois_s Ribeiro;78991;3.42;3,42
Eduardo Henrique;78994;3.78;3,78
William Alves;79032;1.84;1,84
Luiz Felipe;79035;4.62;4,62
Thomaz;79041;4.12;4,12
Tiago ;79042;10.2;10,2
Alex Muralha;79066;3.22;3,22
Ricardo Silva;79334;2.59;2,59
Mansur;79553;5.0;5
Sass‡;79578;7.43;7,43
Lucas Silva;79701;4.3;4,3
Ant™nio Carlos ;79702;2.91;2,91
Fabiano;79887;4.14;4,14
Nen_n;79892;2.23;2,23
Helton Leite;79973;3.32;3,32
Brenner;80080;9.47;9,47
Matheus Mancini;80124;1.36;1,36
Jadson;80129;3.49;3,49
Nadson;80140;0.99;0,99
Marcos Junior;80188;4.37;4,37
Lucas Fonseca;80189;6.27;6,27
Yago Pikachu;80196;10.78;10,78
Cleberson;80281;2.69;2,69
Matheus Vidotto;80286;3.0;3
Gilberto ;80313;9.69;9,69
Ezequiel ;80318;6.27;6,27
Arthur ;80337;11.21;11,21
Ariel Cabral;80363;4.88;4,88
Edson;80370;13.55;13,55
Wanderson;80373;4.0;4
Michael;80537;2.0;2
Luan;80692;5.83;5,83
Pedro Geromel;80853;13.91;13,91
Marlone;80944;5.13;5,13
Vitor Prada;81094;1.0;1
Mayke;81150;8.58;8,58
Thallyson;81219;1.17;1,17
Erazo;81223;3.98;3,98
Oswaldo Henr’quez;81241;6.38;6,38
Cazares;81682;8.31;8,31
Andr_s R’os;81684;3.93;3,93
Clayton;81770;5.89;5,89
Alisson;81845;12.18;12,18
Osman;81898;2.99;2,99
Wellington Simi‹o;81903;2.79;2,79
Henrique Dourado;81905;20.03;20,03
Cueva;82411;10.51;10,51
Z_ Rafael ;82455;19.93;19,93
