atleta_id,apelido,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
38523,Ed°lson,283,https://s.glbimg.com/es/sde/f/2018/03/20/8bfba60975f0fbad8d9932b7f4fc39d1_FORMATO.png,1,0.4,Ed°lson Mendes GuimarÑes,0.0,2,9.23,4,"{'FC': 1, 'PE': 2, 'RB': 1}",edilson,5,0.0
37306,Gilson Kleina,315,https://s.glbimg.com/es/sde/f/2018/03/02/86350cc46965a483a2b3f7a6e31cf52a_FORMATO.png,4,3.0,Gilson Kleina,2.42,6,6.17,4,{},gilson-kleina,7,-0.08
36540,Juan,262,https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png,2,2.75,Juan Silveira dos Santos,0.0,3,7.83,4,"{'FS': 1, 'PE': 5, 'RB': 1, 'SG': 1}",juan,2,0.0
37770,Marcelo Grohe,284,https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png,3,4.57,Marcelo Grohe,-2.0,1,15.58,4,"{'DD': 2, 'GS': 1, 'PE': 1, 'SG': 2}",marcelo-grohe,7,-3.07
37604,Paulo AndrÇ,293,https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png,2,5.8,Paulo AndrÇ Cren Benini,0.0,3,8.08,4,"{'CA': 1, 'FC': 4, 'FS': 4, 'PE': 3, 'RB': 3, 'SG': 2}",paulo-andre,6,0.0
37245,Guto Ferreira,265,https://s.glbimg.com/es/sde/f/2018/03/02/04627b6d62a4bbd729133e9eabd5b593_FORMATO.png,4,3.98,Augusto SÇrgio Ferreira,1.98,6,8.18,4,{},guto-ferreira,7,-0.28
37607,Michel Bastos,292,https://s.glbimg.com/es/sde/f/2018/05/01/4453ab9213082aaadb532ea2c41941ea_FORMATO.png,0,0.0,Michel Fernandes Bastos,0.0,4,5.0,4,{},michel-bastos,6,0.0
38928,Dudu Cearense,263,https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg,0,0.0,Alexandro Silva de Souza,0.0,4,4.0,4,{},dudu-cearense,6,0.0
38509,Diego Alves,262,https://s.glbimg.com/es/sde/f/2018/05/04/6c420bdf0f2609d2a1e1a2a3a3b453b4_FORMATO.png,3,7.57,Diego Alves Carreira,16.4,1,12.65,4,"{'DD': 6, 'FS': 1, 'GS': 2, 'PE': 6, 'SG': 2}",diego-alves,7,3.86
38913,Nenà,276,https://s.glbimg.com/es/sde/f/2018/03/11/aa91f2ba09caaa98df783cd528f1955a_FORMATO.png,4,1.6,Anderson Luiz de Carvalho,2.8,4,6.48,4,"{'CA': 1, 'FC': 4, 'FD': 2, 'FF': 3, 'FS': 7, 'PE': 13, 'RB': 4}",nene,7,0.55
38508,Eder Luis,354,https://s.glbimg.com/es/sde/f/2018/05/02/632e0449b03de2d0c40106ac608a3b24_FORMATO.png,0,0.0,Eder Luis de Oliveira,0.0,5,5.0,4,{},eder-luis,6,0.0
37281,Mano Menezes,283,https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png,4,3.8,Luis Antìnio Venker de Menezes,7.06,6,10.21,4,{},mano-menezes,7,1.2
37798,Rafael Sobis,283,https://s.glbimg.com/es/sde/f/2018/05/07/89dec4f38d1a0c8584e115128f412fcf_FORMATO.png,2,2.7,Rafael Augusto Sobis do Nascimento,0.0,5,6.19,4,"{'FC': 1, 'FF': 4, 'PE': 1, 'RB': 2}",rafael-sobis,6,0.0
37899,Renan,354,https://s.glbimg.com/es/sde/f/2018/02/28/3b06f379f46cdf143d31a7f24a24fb16_FORMATO.png,0,0.0,Renan Brito Soares,0.0,1,4.0,4,{},renan,6,0.0
37319,Marcelo Chamusca,354,https://s.glbimg.com/es/sde/f/2018/03/15/8575ab3c43af119d65d706a9e1c8e87f_FORMATO.png,4,2.6,Marcelo Augusto Oliveira Chamusca,1.8,6,4.44,4,{},marcelo-chamusca,7,0.29
37851,Maicosuel,284,https://s.glbimg.com/es/sde/f/2018/03/25/8ca2b092c57c44412c4e76e7998e6a1a_FORMATO.png,2,0.7,Maicosuel Reginaldo de Matos,0.0,4,3.47,4,"{'FC': 1, 'FD': 1, 'FS': 2, 'PE': 1}",maicosuel,6,0.0
38545,Felipe Melo,275,https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png,4,-0.12,Felipe Melo de Carvalho,0.5,4,2.93,4,"{'CA': 2, 'FC': 5, 'FF': 3, 'PE': 13, 'RB': 5}",felipe-melo,3,-0.04
38530,Cleiton Xavier,287,https://s.glbimg.com/es/sde/f/2018/03/21/485a73e753a7e5be5555ef9a052c93e3_FORMATO.png,0,0.0,Cleiton Ribeiro Xavier,0.0,4,5.0,4,{},cleiton-xavier,6,0.0
38588,Elton,354,https://s.glbimg.com/es/sde/f/2018/03/01/a62f2faea0d5716e80a1feefde3a97c2_FORMATO.png,2,2.4,Elton Rodrigues BrandÑo,5.1,5,5.52,4,"{'A': 1, 'FC': 6, 'FD': 1, 'FS': 3, 'I': 1, 'PE': 3, 'RB': 1}",elton,7,0.72
37934,Roger Bernardo,282,https://s.glbimg.com/es/sde/f/2018/05/07/fde8cf39056004a6a64d3722ec358640_FORMATO.png,0,0.0,Roger de Oliveira Bernardo,0.0,4,4.0,4,{},roger-bernardo,6,0.0
38908,Renato,277,https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png,0,0.0,Renato Dirnei Floràncio,0.0,4,9.0,4,{},renato,6,0.0
38573,Nilton,265,https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png,0,0.0,N°lton Ferreira J£nior,0.0,4,7.0,4,{},nilton,6,0.0
38695,David,327,https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_FORMATO.png,0,0.0,David Franáa Oliveira e Silva,0.0,4,3.0,4,{},david,6,0.0
38632,Matheus Ferraz,327,https://s.glbimg.com/es/sde/f/2018/05/07/8be1d1935e9015d3887fd33e59adab99_FORMATO.png,0,0.0,Matheus Ferraz Pereira,0.0,3,6.0,4,{},matheus-ferraz,6,0.0
38909,Diego,262,https://s.glbimg.com/es/sde/f/2018/05/04/2ccade199ef965ef2245240569beb88d_FORMATO.png,2,3.25,Diego Ribas da Cunha,0.0,4,9.73,4,"{'CA': 2, 'FC': 5, 'FF': 3, 'FS': 10, 'G': 1, 'I': 3, 'PE': 8, 'RB': 1}",diego,5,0.0
38738,Douglas,284,https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png,0,0.0,Douglas dos Santos,0.0,4,7.0,4,{},douglas,6,0.0
37645,Marcelo Mattos,267,https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png,0,0.0,Marcelo Mendonáa de Mattos Terra,0.0,4,2.0,4,{},marcelo-mattos,6,0.0
38001,Anderson,265,https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png,0,0.0,Anderson Pedro Nunes da Silva Campos,0.0,1,3.0,4,{},anderson,6,0.0
37656,F†bio,283,https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png,3,2.23,F†bio Deivson Lopes Maciel,7.7,1,8.74,4,"{'DD': 2, 'GS': 2, 'PE': 1, 'SG': 1}",fabio,7,1.06
37655,Rafael Moura,327,https://s.glbimg.com/es/sde/f/2018/05/07/ef379a2301781917b402af5e2c4b363f_FORMATO.png,4,5.12,Rafael Martiniano de Miranda Moura,4.9,5,11.34,4,"{'A': 1, 'CA': 1, 'FC': 8, 'FD': 3, 'FF': 2, 'FS': 4, 'G': 2, 'I': 1, 'PE': 14, 'RB': 2}",rafael-moura,7,0.13
50856,Henrique,264,https://s.glbimg.com/es/sde/f/2018/03/20/8fc5425796ec6ab741dfe1de895adb4b_FORMATO.png,4,4.42,Henrique Adriano Buss,9.0,3,10.21,4,"{'FC': 1, 'FF': 1, 'FS': 4, 'G': 1, 'PE': 2, 'RB': 2, 'SG': 1}",henrique,7,2.11
50877,Pedro Ken,354,https://s.glbimg.com/es/sde/f/2018/03/15/ae88cb5d16e26374f731749575af56a4_FORMATO.png,0,0.0,Pedro Ken Morimoto Moreira,0.0,4,5.0,4,{},pedro-ken,5,0.0
50808,LÇo Itaperuna,289,https://s.glbimg.com/es/sde/f/2018/04/24/2546f47c74fd6c2b37f7bb23986281f6_FORMATO.png,2,3.5,Leonardo de Oliveira Clemente,5.0,5,4.29,4,"{'A': 1, 'FC': 2, 'FF': 2, 'FS': 4, 'PE': 2}",leo-itaperuna,7,0.85
38910,Ricardo Oliveira,282,https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png,4,4.48,Ricardo de Oliveira,8.1,5,7.61,4,"{'A': 1, 'CA': 2, 'FC': 8, 'FD': 1, 'FF': 3, 'FS': 7, 'G': 2, 'I': 5, 'PE': 9, 'RB': 2}",ricardo-oliveira,7,2.56
51042,Apodi,315,https://s.glbimg.com/es/sde/f/2017/04/24/287a66acd6363a7d660701c832982d75_FORMATO.png,4,3.02,Luiz Diallison de Souza Alves,3.4,2,6.28,4,"{'FC': 10, 'FF': 3, 'FS': 2, 'PE': 11, 'RB': 8, 'SG': 1}",apodi,7,-0.05
50898,Danilo Silva,285,https://s.glbimg.com/es/sde/f/2018/04/08/3e07ec8d4abb5fd768ddf7a9ef5adc41_FORMATO.png,0,0.0,Danilo Aparecido da Silva,0.0,3,5.0,4,{},danilo-silva,6,0.0
50645,Eduardo,315,https://s.glbimg.com/es/sde/f/2018/03/02/ba7873a63732d2a0a49ccd7fe5d47b5c_FORMATO.png,1,2.0,Carlos Eduardo Santos Oliveira,0.0,2,4.82,4,"{'FS': 1, 'RB': 1}",eduardo,6,0.0
51194,Rafael Pereira,354,https://s.glbimg.com/es/sde/f/2018/03/15/7627259ae04362786097252b9c1b2a0b_FORMATO.png,0,0.0,Rafael Pereira dos Santos,0.0,3,5.0,4,{},rafael-pereira,6,0.0
51413,Walter,264,https://s.glbimg.com/es/sde/f/2018/03/20/d0132ebc98e69f3bf16295300fa37c33_FORMATO.png,0,0.0,Walter Leandro Capeloza Artune,0.0,1,7.0,4,{},walter,6,0.0
51318,Leandro Donizete,327,https://s.glbimg.com/es/sde/f/2018/04/17/72dc1ab07472323776f6c1208bc24568_FORMATO.png,2,0.25,Leandro Donizete Gonáalves da Silva,0.0,4,2.0,4,"{'CV': 1, 'FC': 3, 'FD': 1, 'FS': 2, 'PE': 4, 'RB': 4}",leandro-donizete,7,0.0
51792,Kanu,287,https://s.glbimg.com/es/sde/f/2018/03/21/a2e4671774fb12a3492ed292aad6f617_FORMATO.png,4,-0.1,Antonio Eduardo Pereira dos Santos,2.1,3,2.49,4,"{'CA': 2, 'FC': 8, 'I': 1, 'PE': 3, 'RB': 6}",kanu,7,0.55
51700,Thiago Carleto,293,https://s.glbimg.com/es/sde/f/2018/03/01/c5b5d602b0e56ba728e728a7256ce180_FORMATO.png,4,7.38,Thiago Carleto Alves,-1.6,2,15.23,4,"{'A': 1, 'CA': 1, 'FC': 2, 'FD': 3, 'FF': 1, 'FS': 6, 'FT': 1, 'G': 1, 'PE': 18, 'RB': 3, 'SG': 2}",thiago-carleto,7,-2.09
52190,Ralf,264,https://s.glbimg.com/es/sde/f/2018/03/20/8642b2d09ae09e94e978e70d01b2cb69_FORMATO.png,1,3.0,Ralf de Souza Telles,0.0,4,8.96,4,"{'FC': 1, 'FS': 1, 'RB': 2}",ralf,5,0.0
51772,êverton Ribeiro,262,https://s.glbimg.com/es/sde/f/2018/05/04/295690667a6a82986c742697c508ce3d_FORMATO.png,3,2.87,êverton Augusto de Barros Ribeiro,9.8,4,4.72,4,"{'CV': 1, 'FC': 4, 'FD': 2, 'FS': 5, 'G': 1, 'PE': 6, 'RB': 3}",everton-ribeiro,7,2.25
51779,Pedro Botelho,287,https://s.glbimg.com/es/sde/f/2018/03/21/3c4dc7fc1ea46e31898d6cdb2b37d3c9_FORMATO.png,4,2.28,Pedro Roberto Silva Botelho,-2.5,2,5.35,4,"{'FC': 3, 'FF': 1, 'G': 1, 'PE': 14, 'RB': 4}",pedro-botelho,7,-1.65
37674,Wagner,267,https://s.glbimg.com/es/sde/f/2018/03/20/8d0fc53ac4dbf25ee745d9d6af54fdc2_FORMATO.png,3,3.23,Wagner Ferreira dos Santos,-2.8,4,10.69,4,"{'CA': 2, 'FC': 3, 'FD': 3, 'FF': 1, 'FS': 4, 'G': 1, 'I': 2, 'PE': 4, 'RB': 2}",wagner,2,-2.31
37657,Edu Dracena,275,https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png,2,4.05,Eduardo Lu°s Abonizio de Souza,2.1,3,6.87,4,"{'FC': 1, 'FS': 3, 'PE': 3, 'RB': 2, 'SG': 1}",edu-dracena,7,-0.59
52253,RÇver,262,https://s.glbimg.com/es/sde/f/2018/05/04/92c749b3b7f65713848a1141499c4e6c_FORMATO.png,4,7.67,RÇver Humberto Alves Ara£jo,6.0,3,18.22,4,"{'FD': 1, 'FF': 3, 'FS': 7, 'G': 1, 'PE': 3, 'RB': 1, 'SG': 3}",rever,7,0.44
52618,Anderson Martins,276,https://s.glbimg.com/es/sde/f/2018/03/11/52e391e51311c7369cb27a17c9399207_FORMATO.png,1,3.6,Anderson Vieira Martins,3.6,3,7.67,4,"{'FC': 1, 'FS': 1, 'PE': 3, 'RB': 3}",anderson-martins,2,-1.33
50459,LÇo,283,https://s.glbimg.com/es/sde/f/2018/04/13/b9d623e0550dff279ca605e2d622d05d_FORMATO.png,3,4.9,Leonardo Renan Simîes de Lacerda,10.2,3,8.27,4,"{'FC': 3, 'FF': 1, 'FS': 1, 'PE': 2, 'RB': 7, 'SG': 1}",leo,7,2.12
37662,Jonathan,293,https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png,3,5.77,Jonathan C°cero Moreira,6.4,2,10.63,4,"{'A': 2, 'FS': 1, 'PE': 4, 'RB': 2, 'SG': 1}",jonathan,6,1.0
52674,Gilson,263,https://s.glbimg.com/es/sde/f/2017/04/17/41717887cc5c81bcd28ad1df6829c7e6_FORMATO.png,4,4.53,Gilson Gomes do Nascimento,3.5,2,7.93,4,"{'CA': 1, 'FC': 7, 'FD': 1, 'FS': 9, 'G': 1, 'PE': 17, 'RB': 10}",gilson,7,0.05
37694,Henrique,283,https://s.glbimg.com/es/sde/f/2018/04/13/441a4c5211eb67346524c663e768f7b3_FORMATO.png,3,4.23,Henrique Pacheco de Lima,1.5,4,10.75,4,"{'CA': 1, 'FC': 2, 'FF': 2, 'FS': 3, 'PE': 3, 'RB': 9}",henrique,7,-1.16
60788,Marquinhos,327,https://s.glbimg.com/es/sde/f/2018/05/07/a3b6c248ae652fa7693389228af57903_FORMATO.png,3,3.43,Marcos Antìnio da Silva Gonáalves,-0.9,5,6.32,4,"{'FC': 1, 'FD': 1, 'FS': 2, 'G': 1, 'PE': 8, 'RB': 2}",marquinhos,7,-1.6
