,nome,slug,apelido,foto,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,clube.id.full.name,A,CA,FC,FD,FF,FS,FT,G,I,PE,RB,SG,CV,DD,GS,PP,GC,DP
0,Diego Fabi†n Torres,diego-torres,Diego Torres,https://s.glbimg.com/es/sde/f/2018/08/08/403dbf41c52f6b7063f9a1d999627b58_FORMATO.png,98794,38,CHA,4,7,2.6,5.33,0.64,1.27,Chapecoense,1.0,5.0,14.0,1.0,9.0,5.0,1.0,2.0,1.0,33.0,11.0,,,,,,,
1,JosÇ Marcos Costa Martins,marquinhos,Marquinhos,https://s.glbimg.com/es/sde/f/2018/09/03/e0930336daf900b7753094d97c05ff41_FORMATO.png,98765,38,CHA,4,6,0,0.99,0,1.55,Chapecoense,,1.0,2.0,1.0,,2.0,,,,2.0,3.0,,,,,,,
2,Marcelo dos Santos Rosa,marcelo,Marcelo,https://s.glbimg.com/es/sde/f/2018/05/08/38e74b2d891b77e8bf5e2528f09608c3_FORMATO.png,98874,38,ATL,5,6,0,2.0,0,0,AtlÇtico-PR,,,,,,,,,,,,,,,,,,
3,Luis Antìnio Venker de Menezes,mano-menezes,Mano Menezes,https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png,37281,38,CRU,6,7,5.15,11.3,0.62,3.64,Cruzeiro,,,,,,,,,,,,,,,,,,
4,Pedro Gomes Bortoluzo,pedro-bortoluzo,Pedro Bortoluzo,https://s.glbimg.com/es/sde/f/2018/09/04/08e0c0a0414e51df482079c108b9d382_FORMATO.png,99041,38,SAO,5,6,0,1.49,0,#CAMPO!,SÑo Paulo,,,3.0,1.0,,,,,,,,,,,,,,
5,Derlan de Oliveira Bento,derlan,Derlan,https://s.glbimg.com/es/sde/f/2018/07/31/24afd410e27731384e1a8a4db2986220_FORMATO.png,98945,38,GRE,3,6,0,1.52,0,0,Gràmio,,,,,,,,,,,,,,,,,,
6,Juan Silveira dos Santos,juan,Juan,https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png,36540,38,FLA,3,5,0,5.74,0,1.55,Flamengo,,1.0,1.0,,1.0,1.0,,,,7.0,3.0,1.0,,,,,,
7,Paulo AndrÇ Cren Benini,paulo-andre,Paulo AndrÇ,https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png,37604,38,ATL,3,6,0,7.18,0,2.98,AtlÇtico-PR,,5.0,11.0,,,7.0,,1.0,,24.0,6.0,7.0,,,,,,
8,Ünderson Daniel Plata GuillÇn,plata,Plata,https://s.glbimg.com/es/sde/f/2018/08/15/e5c84107ae73d82ddbf8e716b4feacc7_FORMATO.png,98841,38,ATL,5,7,0,4.77,0,2.7,AtlÇtico-PR,,,,,,,1.0,,,1.0,,,,,,,,
9,Jean Pyerre Casagrande Silveira Correa,jean-pyerre,Jean Pyerre,https://s.glbimg.com/es/sde/f/2018/09/12/d6f04c6283e5b7fb8302f422d4f8a5fd_FORMATO.png,98832,38,GRE,4,6,0,3.37,0,3.11,Gràmio,,,8.0,5.0,7.0,19.0,,1.0,2.0,16.0,12.0,,,,,,,
10,Elias Lira Nogueira Junior ,elias,Elias,https://s.glbimg.com/es/sde/f/2018/09/12/7611a5bada11e1caea4cac58a32db3e8_FORMATO.png,99034,38,SPO,2,6,0,2.0,0,0,Sport,,,,,,,,,,,,,,,,,,
11,Riuler de Oliveira Faustino,riuler,Riuler,https://s.glbimg.com/es/sde/f/2018/05/08/d02df5afc866bff4bd57ec2a89b945d3_FORMATO.png,99021,38,ATL,2,6,0,1.0,0,0,AtlÇtico-PR,,,,,,,,,,,,,,,,,,
12,Alexsander Jhonatta de Oliveira Andrade,alexsander,Alexsander,https://s.glbimg.com/es/sde/f/2018/05/08/0c6b57f472519b0ccc3970a86ae1b337_FORMATO.png,99411,38,ATL,4,6,0,1.0,0,0,AtlÇtico-PR,,,,,,,,,,,,,,,,,,
13,Edgardo Daniel Orzusa C†ceres,orzusa,Orzusa,https://s.glbimg.com/es/sde/f/2018/08/03/9fe6d520171ca66a71766e405c2f636a_FORMATO.png,99160,38,CHA,4,6,0,2.78,0,0.35,Chapecoense,,,1.0,,,,,,,1.0,1.0,,,,,,,
14,JosÇ Rodolfo Pires Ribeiro,dodo,Dodì,https://s.glbimg.com/es/sde/f/2018/05/23/bed8c47807867724de1462e2c2e094cc_FORMATO.png,68727,38,SAN,2,3,0,13.61,0,5.49,Santos,3.0,6.0,25.0,5.0,13.0,40.0,1.0,1.0,2.0,96.0,76.0,14.0,,,,,,
15,Pedro Henrique de Oliveira Correia,pedrao,PedrÑo,https://s.glbimg.com/es/sde/f/2017/09/14/f98ef7fba472b456f28c1888c9e392e5_FORMATO.jpeg,100322,38,PAL,3,6,0,2.0,0,0,Palmeiras,,,,,,,,,,,,,,,,,,
16,Paulo Henrique Pereira da Silva,paulinho,Paulinho,https://s.glbimg.com/es/sde/f/2018/05/26/755b69cb731efaf835f0b845f7693bbf_FORMATO.png,100333,38,SAO,5,6,0,1.29,0,2.5,SÑo Paulo,,,,1.0,1.0,1.0,,,,,,,,,,,,
17,Vander Tavares Silva,vander,Vander,,100159,38,CRU,4,6,0,1.0,0,0,Cruzeiro,,,,,,,,,,,,,,,,,,
18,Rodrygo Silva de Goes,rodrygo,Rodrygo,https://s.glbimg.com/es/sde/f/2018/05/23/a4027e39ad5dea6e62cfafe8425bd637_FORMATO.png,100651,38,SAN,5,7,10.8,13.05,1.28,4.24,Santos,3.0,1.0,32.0,17.0,16.0,66.0,2.0,8.0,1.0,71.0,19.0,,,,,,,
19,Michel Fernandes Bastos,michel-bastos,Michel Bastos,https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png,37607,38,SPO,4,6,0,4.8,0,2.94,Sport,3.0,1.0,20.0,5.0,18.0,17.0,3.0,4.0,5.0,53.0,9.0,,,,,,,
20,Matheus Matias Ferreira,matheus-matias,Matheus Matias,https://s.glbimg.com/es/sde/f/2018/03/20/eb73de7fb8328542fb0438fdd1809c4b_FORMATO.png,100430,38,COR,5,6,0,2.66,0,0,Corinthians,,,,,,,,,,,,,,,,,,
21,Felipe Souza Moreno Sampaio,felipe,Felipe,https://s.glbimg.com/es/sde/f/2018/01/21/2bee05842c9d96fbbae04d80edc9f2fb_FORMATO.png,99425,38,FLU,5,6,0,1.0,0,0,Fluminense,,,,,,,,,,,,,,,,,,
22,Yuri Alberto Monteiro da Silva,yuri-alberto,Yuri Alberto,https://s.glbimg.com/es/sde/f/2018/05/23/c12302cb409beb75eb67f045028f774e_FORMATO.png,100652,38,SAN,5,6,0,2.25,0,1.06,Santos,,1.0,2.0,5.0,3.0,3.0,,,2.0,,1.0,,,,,,,
