,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,gato_mestre,slug,apelido,apelido_abreviado,nome,foto
0,"{'CA': 1, 'DE': 59, 'DS': 1, 'FS': 2, 'GS': 14, 'SG': 8}",69012,35,262,1,7,0.0,10.33,0.0,4.55,19,7.81,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",santos,Santos,Santos,Aderbar Melo dos Santos Neto,https://s.glbimg.com/es/sde/f/2022/04/14/cdf250518797f30f9cb6045061ee01ab_FORMATO.png
1,"{'A': 2, 'CA': 5, 'DS': 11, 'FC': 35, 'FD': 17, 'FF': 35, 'FS': 59, 'FT': 4, 'G': 12, 'I': 15, 'PI': 169}",39148,35,282,5,5,0.0,18.99,0.0,7.0,25,4.6,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",hulk,Hulk,Hulk,Givanildo Vieira de Souza,https://s.sde.globo.com/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png
2,"{'CA': 1, 'DS': 16, 'FC': 9, 'FD': 2, 'FF': 3, 'FS': 3, 'FT': 1, 'PI': 31}",91573,35,276,3,6,0.0,5.93,0.0,2.71,8,3.34,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",arboleda,Arboleda,Arboleda,Robert Abel Arboleda Escobar,https://s.glbimg.com/es/sde/f/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png
3,"{'DE': 9, 'FS': 1, 'GS': 5}",88916,35,356,1,6,0.0,5.03,0.0,2.25,2,4.23,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",luan-polli,Luan Polli,L. Polli,Luan Polli Gomes,https://s.glbimg.com/es/sde/f/2022/07/29/8a9128472f54ae0e854e5a35d456eb76_FORMATO.png
4,"{'A': 1, 'CA': 8, 'CV': 1, 'DS': 6, 'FC': 10, 'FD': 13, 'FF': 18, 'FS': 16, 'FT': 3, 'G': 11, 'I': 15, 'PI': 114, 'PP': 2, 'PS': 1}",83257,35,262,5,6,0.0,10.79,0.0,4.34,26,4.1,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",gabriel,Gabriel,Gabriel,Gabriel Barbosa Almeida,https://s.sde.globo.com/media/person_role/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png
5,"{'A': 3, 'CA': 1, 'DS': 22, 'FC': 16, 'FD': 9, 'FF': 13, 'FS': 29, 'FT': 1, 'G': 3, 'I': 4, 'PI': 82, 'PP': 1}",94509,35,275,4,5,0.0,14.0,0.0,4.75,18,4.2,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",raphael-veiga,Raphael Veiga,R. Veiga,Raphael Cavalcante Veiga,https://s.glbimg.com/es/sde/f/2022/02/21/edbc22b64b00c1cd70870abf8d429ffd_FORMATO.png
6,"{'CA': 5, 'DE': 112, 'DS': 1, 'FS': 6, 'GS': 31, 'SG': 10}",85425,35,277,1,7,2.0,12.87,0.13,4.09,32,3.38,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",joao-paulo,JoÑo Paulo,J. Paulo,JoÑo Paulo Silva Martins,https://s.glbimg.com/es/sde/f/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png
7,"{'A': 2, 'CA': 2, 'DS': 19, 'FC': 10, 'FS': 5, 'I': 1, 'PI': 104, 'SG': 4}",42500,35,264,2,2,0.0,8.42,0.25,3.06,13,1.22,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",fagner,Fagner,Fagner,Fagner Conserva Lemos,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png
8,"{'CA': 1, 'DE': 91, 'DP': 1, 'FS': 6, 'GS': 37, 'SG': 8}",74061,35,263,1,7,0.0,6.99,0.14,3.31,31,1.0,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",gatito-fernandez,Gatito Fern†ndez,G. Fern†ndez,Roberto Junior Fern†ndez Torres,https://s.glbimg.com/es/sde/f/2022/02/21/26f8f1373737a7203417427043ada896_FORMATO.png
9,"{'A': 2, 'CA': 4, 'DS': 57, 'FC': 19, 'FD': 5, 'FF': 11, 'FS': 19, 'PC': 1, 'PI': 163, 'SG': 13}",102130,35,275,2,7,4.6,9.09,-0.48,5.87,24,5.01,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",piquerez,Piquerez,Piquerez,Joaqu°n Piquerez Moreira,https://s.sde.globo.com/media/person_role/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png
