,scout,gato_mestre,minimo_para_valorizar,jogos_num,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,media_num,variacao_num,preco_num,entrou_em_campo,slug,apelido,apelido_abreviado,nome,foto
0,{'V': 6},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",2.82,16,37281,25,264,6,7,2.55,4.69,-1.04,10.51,True,mano-menezes,Mano Menezes,M. Menezes,Luis Antìnio Venker de Menezes,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png
1,"{'CA': 3, 'DE': 79, 'FS': 2, 'GS': 24, 'SG': 9}","{'scouts': {'media': {'SG': 0.39, 'FS': 0.09, 'CA': 0.13, 'DE': 3.43, 'GS': 1.04}, 'mandante': {'SG': 7, 'FS': 1, 'CA': 1, 'DE': 34, 'GS': 6}, 'visitante': {'SG': 2, 'FS': 1, 'CA': 2, 'DE': 45, 'GS': 18}}, 'media_pontos_mandante': 4.8076923076923075, 'media_pontos_visitante': 3.55, 'media_minutos_jogados': 101, 'minutos_jogados': 101}",5.83,23,37656,25,266,1,7,0.0,4.26,0.0,12.81,False,fabio,F†bio,F†bio,F†bio Deivson Lopes Maciel,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png
2,"{'A': 2, 'DS': 7, 'FC': 3, 'FD': 4, 'FF': 4, 'FS': 10, 'G': 1, 'I': 1}","{'scouts': {'media': {'FS': 0.91, 'A': 0.18, 'G': 0.09, 'I': 0.09, 'DS': 0.64, 'FC': 0.27, 'FF': 0.36, 'FD': 0.36}, 'mandante': {'FS': 5, 'A': 2, 'DS': 5, 'FC': 2, 'FF': 4, 'FD': 4}, 'visitante': {'FS': 5, 'G': 1, 'I': 1, 'DS': 2, 'FC': 1}}, 'media_pontos_mandante': 4.316666666666666, 'media_pontos_visitante': 2.5, 'media_minutos_jogados': 43, 'minutos_jogados': 38}",1.13,11,38398,25,264,4,2,0.0,3.5,-0.81,11.68,True,renato-augusto,Renato Augusto,R. Augusto,Renato Soares de Oliveira Augusto,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png
3,"{'A': 1, 'CA': 2, 'DS': 17, 'FC': 4, 'FD': 4, 'FF': 7, 'FS': 22, 'G': 1, 'I': 1, 'SG': 5}","{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",4.97,12,38402,25,266,2,2,0.0,6.38,0.0,13.55,False,marcelo,Marcelo,Marcelo,Marcelo Vieira da Silva J£nior,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png
4,"{'A': 1, 'CA': 6, 'DS': 25, 'FC': 16, 'FD': 1, 'FF': 1, 'FS': 14, 'FT': 1, 'GC': 1, 'PC': 1, 'SG': 4}","{'scouts': {'media': {'SG': 0.24, 'FS': 0.82, 'A': 0.06, 'FT': 0.06, 'DS': 1.47, 'FC': 0.94, 'GC': 0.06, 'CA': 0.35, 'FF': 0.06, 'FD': 0.06, 'PC': 0.06}, 'mandante': {'SG': 3, 'FS': 10, 'FT': 1, 'DS': 15, 'FC': 13, 'CA': 4, 'FF': 1, 'FD': 1}, 'visitante': {'SG': 1, 'FS': 4, 'A': 1, 'DS': 10, 'FC': 3, 'GC': 1, 'CA': 2, 'PC': 1}}, 'media_pontos_mandante': 3.1909090909090905, 'media_pontos_visitante': 2.85, 'media_minutos_jogados': 90, 'minutos_jogados': 98}",-0.24,16,38144,25,276,2,3,-1.0,3.27,-0.07,6.27,True,rafinha,Rafinha,Rafinha,M†rcio Rafael Ferreira de Souza,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png
5,"{'CA': 5, 'DS': 28, 'FC': 25, 'FD': 1, 'FS': 4, 'SG': 7}","{'scouts': {'media': {'SG': 0.39, 'FS': 0.22, 'DS': 1.56, 'FC': 1.39, 'CA': 0.28, 'FD': 0.06}, 'mandante': {'SG': 5, 'FS': 2, 'DS': 17, 'FC': 16, 'CA': 4}, 'visitante': {'SG': 2, 'FS': 2, 'DS': 11, 'FC': 9, 'CA': 1, 'FD': 1}}, 'media_pontos_mandante': 3.1333333333333333, 'media_pontos_visitante': 3.616666666666667, 'media_minutos_jogados': 77, 'minutos_jogados': 104}",7.45,18,38877,25,282,2,7,8.8,3.3,0.71,6.92,True,mariano,Mariano,Mariano,Mariano Ferreira Filho,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png
6,"{'CA': 5, 'DS': 21, 'FC': 19, 'FD': 1, 'FF': 4, 'FS': 15, 'FT': 1, 'I': 1, 'PC': 1, 'SG': 6}","{'scouts': {'media': {'SG': 0.3, 'FS': 0.75, 'FT': 0.05, 'I': 0.05, 'DS': 1.05, 'FC': 0.95, 'CA': 0.25, 'FF': 0.2, 'FD': 0.05, 'PC': 0.05}, 'mandante': {'SG': 4, 'FS': 9, 'FT': 1, 'I': 1, 'DS': 9, 'FC': 13, 'CA': 3, 'FF': 2, 'FD': 1}, 'visitante': {'SG': 2, 'FS': 6, 'DS': 12, 'FC': 6, 'CA': 2, 'FF': 2, 'PC': 1}}, 'media_pontos_mandante': 2.8416666666666663, 'media_pontos_visitante': 3.025, 'media_minutos_jogados': 97, 'minutos_jogados': 100}",4.35,20,38394,25,293,3,3,4.7,2.92,0.44,7.23,True,thiago-heleno,Thiago Heleno,T. Heleno,Thiago Heleno Henrique Ferreira,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png
7,"{'A': 1, 'CA': 3, 'DS': 11, 'FC': 11, 'FF': 1, 'FS': 18, 'G': 1, 'PP': 1, 'SG': 5}","{'scouts': {'media': {'SG': 0.36, 'FS': 1.29, 'A': 0.07, 'G': 0.07, 'DS': 0.79, 'FC': 0.79, 'CA': 0.21, 'PP': 0.07, 'FF': 0.07}, 'mandante': {'SG': 2, 'FS': 3, 'DS': 4, 'FC': 3}, 'visitante': {'SG': 3, 'FS': 15, 'A': 1, 'G': 1, 'DS': 7, 'FC': 8, 'CA': 3, 'PP': 1, 'FF': 1}}, 'media_pontos_mandante': 2.5666666666666664, 'media_pontos_visitante': 4.4125, 'media_minutos_jogados': 64, 'minutos_jogados': 17}",5.34,14,38229,25,264,2,2,0.0,3.62,0.0,5.43,False,fabio-santos,F†bio Santos,F. Santos,F†bio Santos Romeu,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png
8,{'V': 8},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",5.08,23,40990,25,276,6,7,5.35,4.89,0.36,11.49,True,dorival-junior,Dorival J£nior,D. J£nior,Dorival Silvestre J£nior,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png
9,{'V': 13},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",3.69,24,41929,25,284,6,7,3.45,5.4,-0.51,12.84,True,renato-gaucho,Renato Ga£cho,R. Ga£cho,Renato Portaluppi,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png
10,"{'A': 6, 'CA': 6, 'CV': 1, 'DS': 8, 'FC': 37, 'FD': 27, 'FF': 31, 'FS': 72, 'FT': 2, 'G': 8, 'I': 10, 'PS': 1}","{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",8.57,22,39148,25,282,5,7,9.4,8.29,0.59,18.44,True,hulk,Hulk,Hulk,Givanildo Vieira de Souza,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png
11,{'V': 6},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",7.39,15,43618,25,282,6,7,8.39,5.29,0.36,11.49,True,luiz-felipe-scolari,Luiz Felipe Scolari,L. Scolari,Luiz Felipe Scolari,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png
12,"{'CA': 2, 'DE': 83, 'FS': 5, 'GS': 27, 'PC': 1, 'SG': 6}","{'scouts': {'media': {'SG': 0.25, 'FS': 0.21, 'CA': 0.08, 'DE': 3.46, 'GS': 1.12, 'PC': 0.04}, 'mandante': {'SG': 3, 'FS': 1, 'CA': 1, 'DE': 30, 'GS': 8}, 'visitante': {'SG': 3, 'FS': 4, 'CA': 1, 'DE': 53, 'GS': 19, 'PC': 1}}, 'media_pontos_mandante': 3.3181818181818183, 'media_pontos_visitante': 3.769230769230769, 'media_minutos_jogados': 100, 'minutos_jogados': 98}",3.44,24,42234,25,264,1,7,3.5,3.58,-0.51,8.17,True,cassio,C†ssio,C†ssio,C†ssio Roberto Ramos,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png
13,"{'DS': 2, 'FC': 1, 'FF': 2, 'FS': 2, 'G': 2, 'I': 1}","{'scouts': {'media': {'FS': 0.22, 'G': 0.22, 'I': 0.11, 'DS': 0.22, 'FC': 0.11, 'FF': 0.22}, 'mandante': {'G': 1}, 'visitante': {'FS': 2, 'G': 1, 'I': 1, 'DS': 2, 'FC': 1, 'FF': 2}}, 'media_pontos_mandante': 4, 'media_pontos_visitante': 1.8000000000000003, 'media_minutos_jogados': 28, 'minutos_jogados': 49}",0.77,9,42116,25,293,5,6,0.4,2.28,-0.4,4.46,True,willian,Willian,Willian,Willian Gomes de Siqueira,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png
14,"{'CA': 1, 'DS': 6, 'FC': 8, 'FD': 1, 'FF': 3, 'FS': 5, 'SG': 6}","{'scouts': {'media': {'SG': 0.46, 'FS': 0.38, 'DS': 0.46, 'FC': 0.62, 'CA': 0.08, 'FF': 0.23, 'FD': 0.08}, 'mandante': {'SG': 4, 'FS': 2, 'DS': 5, 'FC': 5, 'FF': 2}, 'visitante': {'SG': 2, 'FS': 3, 'DS': 1, 'FC': 3, 'CA': 1, 'FF': 1, 'FD': 1}}, 'media_pontos_mandante': 3.3875, 'media_pontos_visitante': 2.56, 'media_minutos_jogados': 55, 'minutos_jogados': 98}",1.26,13,50317,25,266,3,6,1.0,3.07,-0.98,5.53,True,david-braz,David Braz,D. Braz,David Braz de Oliveira Filho,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png
15,"{'A': 1, 'CA': 8, 'DS': 32, 'FC': 25, 'FD': 1, 'FF': 3, 'FS': 21, 'PC': 3, 'SG': 8}","{'scouts': {'media': {'SG': 0.38, 'FS': 1, 'A': 0.05, 'DS': 1.52, 'FC': 1.19, 'CA': 0.38, 'FF': 0.14, 'FD': 0.05, 'PC': 0.14}, 'mandante': {'SG': 5, 'FS': 16, 'A': 1, 'DS': 17, 'FC': 17, 'CA': 5, 'FF': 2, 'PC': 1}, 'visitante': {'SG': 3, 'FS': 5, 'DS': 15, 'FC': 8, 'CA': 3, 'FF': 1, 'FD': 1, 'PC': 2}}, 'media_pontos_mandante': 4.074999999999999, 'media_pontos_visitante': 3.344444444444444, 'media_minutos_jogados': 100, 'minutos_jogados': 103}",0.27,21,50353,25,356,3,7,0.0,3.75,0.0,7.5,False,titi,Titi,Titi,Christian Chagas Tarouco,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png
16,"{'CA': 4, 'DS': 10, 'FC': 14, 'FD': 2, 'FF': 1, 'FS': 2, 'SG': 3}","{'scouts': {'media': {'SG': 0.2, 'FS': 0.13, 'DS': 0.67, 'FC': 0.93, 'CA': 0.27, 'FF': 0.07, 'FD': 0.13}, 'mandante': {'SG': 3, 'DS': 6, 'FC': 7, 'CA': 1, 'FF': 1}, 'visitante': {'FS': 2, 'DS': 4, 'FC': 7, 'CA': 3, 'FD': 2}}, 'media_pontos_mandante': 2.4875, 'media_pontos_visitante': 0.4428571428571428, 'media_minutos_jogados': 94, 'minutos_jogados': 100}",5.93,15,50856,25,294,3,7,7.0,1.54,0.94,3.85,True,henrique,Henrique,Henrique,Henrique Adriano Buss,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_XiJG6Uj.png
